PID	PLOTKEY	TREE_ID	TREE_SPECIES	TREE_SPECIES_LUMP	code	DIAM_CLASS_4_11	DIAM_CLASS_12_23	DIAM_CLASS_24_35	DIAM_CLASS_36_	TOTAL	height	genus	species	var_subsp	lifeform	source	table	code_match	name	num_matches
63	65B32	126	A	A	A	0	4	0	0	4	35	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
63	65B32	128	B	B	B	0	1	0	0	1	45	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
64	65B33	129	A	A	A	1	6	1	0	7	50	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
64	65B33	130	B	B	B	1	6	1	0	7	55	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
65	65B34	131	D	D	D	11	0	0	0	11	25	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
65	65B34	132	A	A	A	2	0	0	0	2	20	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
67	65B36	133	D	D	D	3	3	1	0	7	30	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
67	65B36	134	V	V	V	1	1	0	0	2	35	quercus	lobata		t	3	TREE_TALLY	matched	Quercus lobata 	1
68	65B41	136	V	V	V	5	1	0	0	6	30	quercus	lobata		t	3	TREE_TALLY	matched	Quercus lobata 	1
68	65B41	135	D	D	D	5	0	0	0	5	30	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
68	65B41	137	B	B	B	1	1	0	0	2	30	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
70	65B43	138	D	D	D	9	2	0	0	11	20	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
70	65B43	139	B	B	B	0	1	0	0	1	20	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
71	65B44	140	D	D	D	7	3	0	0	10	30	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
71	65B44	141	V	V	V	1	0	0	0	1	30	quercus	lobata		t	3	TREE_TALLY	matched	Quercus lobata 	1
72	65B45	143	A	A	A	24	4	0	0	28	20	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
72	65B45	142	B	B	B	22	5	0	0	27	25	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
74	65B47	144	A	A	A	27	2	0	0	29	30	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
74	65B47	145	M2	M2	M2	2	7	0	0	9	40	acer	macrophyllum		t	3	TREE_TALLY	matched	Acer macrophyllum 	2
74	65B47	147	M	M	M	3	2	0	0	5	30	arbutus	menziesii		t	3	TREE_TALLY	matched	Arbutus menziesii 	1
74	65B47	146	B	B	B	2	0	0	0	2	25	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
78	65B411	148	A	A	A	20	2	0	0	22	35	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
